TRANSACTION VALUE,TRANSACTION DATE,CUSTOMER_ID
308.43,2015-10-04,27541835208
300.68,2015-03-05,27564830025
47.98,2015-03-08,27564830025
163.69,2015-10-21,07570918305
242.00,2015-12-04,27507754754
107.72,2015-05-08,87609132183
295.52,2015-11-06,87609132183
20.37,2015-12-06,87609132183
149.92,2015-12-12,87609132183
228.63,2015-12-12,87609132183
278.52,2015-10-08,17678085837
80.15,2015-11-09,17678085837
41.32,2015-12-28,17678085837
392.30,2015-12-29,17678085837
48.14,2015-09-10,37645145052
263.38,2015-06-15,77642091698
42.71,2015-11-26,77642091698
21.71,2015-12-12,77642091698
59.06,2015-12-23,77642091698
298.08,2015-12-01,77674019697
214.58,2015-12-08,77674019697
145.49,2015-12-24,77674019697
451.22,2015-12-28,77674019697
322.01,2015-08-17,77530748405
374.88,2015-06-07,37576767841
92.81,2015-06-17,17656115798
221.78,2015-12-14,17560949845
156.94,2015-12-20,17560949845
200.55,2015-01-08,17525728346
319.44,2015-02-02,47523794365
241.85,2015-10-08,47523794365
157.09,2015-12-12,47523794365
209.84,2015-10-12,37669041733
136.90,2015-03-30,97549885233
291.94,2015-12-14,97549885233
112.78,2015-12-19,97549885233
171.55,2015-10-21,07558965611
119.55,2015-05-23,47568927925
139.71,2015-06-19,47582838026
7.11,2015-09-20,47582838026
239.37,2015-10-27,17570785247
179.52,2015-12-04,17570785247
318.58,2015-12-20,17570785247
280.50,2015-12-25,17570785247
258.13,2015-05-05,67592947427
146.71,2015-09-01,67592947427
108.75,2015-11-03,67592947427
258.99,2015-11-23,67592947427
75.90,2015-02-01,47562894444
213.42,2015-03-15,47562894444
98.58,2015-04-15,47562894444
173.22,2015-09-24,47643015718
21.45,2015-12-15,47643015718
322.98,2015-12-22,77511898112
95.12,2015-12-27,77511898112
283.52,2015-01-10,67559883993
25.03,2015-09-16,67559883993
31.54,2015-12-23,67559883993
99.31,2015-10-21,77557891035
34.24,2015-11-13,77557891035
135.52,2015-04-14,07578895835
174.53,2015-06-11,77546753719
180.30,2015-05-29,37632100256
193.03,2015-12-05,37632100256
72.52,2015-12-08,37632100256
18.93,2015-12-20,37632100256
71.61,2015-01-12,07531803462
286.03,2015-09-26,07531803462
190.65,2015-01-06,87595860857
53.01,2015-07-19,87595860857
182.64,2015-08-11,97612116366
88.84,2015-10-29,97612116366
55.31,2015-12-09,97612116366
368.11,2015-12-27,97612116366
87.35,2015-04-04,27681037092
179.75,2015-05-01,27681037092
242.14,2015-06-14,27681037092
115.00,2015-08-23,27681037092
116.28,2015-12-05,27681037092
40.33,2015-12-11,27681037092
180.71,2015-11-14,97517827483
37.75,2015-10-01,87529958818
47.40,2015-12-17,87529958818
302.03,2015-12-25,87529958818
